Track,RaceNumber,Box,DogName,FinalScore,Tier,LockReason,ExpectedWinRate,FormNumber,Trainer,SexAge,Weight,Draw,CareerWins,CareerPlaces,CareerStarts,PrizeMoney,RTC,DLR,DLW,RaceDate,RaceTime,Distance,BoxBiasFactor,BestTimeSec,Last3TimesSec,SectionalSec,TimeConverted,Margins,TrackConditionAdj,RestFactor,Speed_kmh,EarlySpeedIndex,FinishConsistency,MarginAvg,FormMomentum,ConsistencyIndex,RecentFormBoost,DistanceSuit,TrainerStrikeRate,OverexposedPenalty,PlaceRate,DLWFactor,WeightFactor,DrawFactor,FormMomentumNorm,MarginFactor,RTCFactor,BoxPositionBias,BoxPlaceRate,BoxTop3Rate,TrackBox1Adjustment,TrackBox4Adjustment,AgeMonths,AgeFactor,RailPreference,BoxPenaltyFactor,SpeedAtDistance,SpeedClassification,ExperienceTier,WinStreakFactor,FreshnessFactor,ClassRating,GradeFactor,Last3AvgFinish,Last3FinishFactor,RaceDistanceCategory,DistanceChangeFactor,IsFrontRunner,PaceBoxFactor,TrainerTier,FreshnessFactorV2,AgeFactorV2,TrackSurface,SurfacePreferenceFactor,WinPlaceRate,EarlySpeedPercentile,BestTimePercentile,FieldSpeedStd,FieldTimeStd,FieldSimilarityIndex,TrackUpsetFactor,CompetitorDensity,CompetitorAdjustment,FieldSize,FieldSizeAdjustment,WinStreakFactorV2,CloserBonus,TrainerMomentum,ScoreMargin,CareerStartsCheck
WENTWORTH PARK,5,1,Cold Cold Night,128.54491377550133,TIER0 - LOCK,"Box 1, Score 128.5, Margin 25.1%, 31 starts",0.375,11121,Nathan Goodwin,2d,0.0,1,9,9,31,37195.0,32.0,7,7.0,2025-11-22,08:43PM,520,0.0,29.81,"[29.93, 29.96, 30.17]",3.93,,[],1.0,0.8,62.79771888627977,132.31552162849871,0.10677078252031384,0,0,0.2903225806451613,0.5,0.7,0.2903225806451613,0.0,0.2903225806451613,1.0,0.5,1.0,0.5,0.6,0.0,0.135,0.016999999999999987,0.04066666666666666,0.05,0.0,24,1.0,0.02,1.12,17.44381080174438,1.0,1.0,1.3,1.0,0.5233116684551704,1.0,0,1.0,MIDDLE,1.0,True,1.1,1.15,1.0,1.0,MIXED,1.02,0.5806451612903226,1.0,0.4,21.45672886584374,0.3155629889578319,0.8,0.92,0.4,1.1,5,0.02,1.3,1.0,1.12,25.10126242012442,31
DUBBO,5,1,Zipping Ariel,118.46104104118818,TIER0 - LOCK,"Box 1, Score 118.5, Margin 13.8%, 36 starts",0.375,72441,Courtney Barnes,2b,0.0,1,10,13,36,50010.0,37.0,7,7.0,2025-11-22,08:25PM,516,0.25,29.15,"[29.98, 29.82, 29.15]",4.38,,[],1.0,0.8,63.725557461406524,117.8082191780822,0.35953673896650296,0,0,0.2777777777777778,0.5,0.7,0.26865671641791045,0.0,0.3611111111111111,1.0,0.5,1.0,0.5,0.6,0.0,0.135,0.016999999999999987,0.04066666666666666,0.05,0.0,24,1.0,0.02,1.12,17.70154373927959,1.0,1.0,1.3,1.0,0.36956430065113066,1.0,0,1.0,MIDDLE,1.0,False,0.95,1.15,1.0,1.0,SAND,1.0302,0.6388888888888888,0.6666666666666666,0.8333333333333334,1.4803865168910113,0.16880297522391163,1.1,0.9,0.1111111111111111,1.1,9,0.005,1.3,1.0,1.12,13.832050807816957,36
GAWLER,5,1,Jan Hewett,116.1868664977974,TIER0 - LOCK,"Box 1, Score 116.2, Margin 17.6%, 34 starts",0.375,35441,Peter Czupak,3b,0.0,1,8,15,34,14865.0,29.0,4,4.0,2025-11-28,12:19PM,531,0.6666666666666667,30.77,"[31.04, 30.77, 30.89]",3.19,,[],1.0,0.8,62.12544686382841,166.4576802507837,0.11045361017187239,0,0,0.23529411764705882,1.0,0.7,0.21428571428571427,0.0,0.4411764705882353,1.0,0.5,1.0,0.5,0.6,0.0,0.135,0.016999999999999987,0.04066666666666666,0.05,0.0,36,1.05,0.02,1.12,17.257068573285668,1.0,1.0,1.3,0.85,0.5565247186561059,1.0,0,1.0,MIDDLE,1.0,False,0.95,1.08,0.85,1.05,SAND,1.0302,0.6764705882352942,0.6,0.8,2.3007126084770118,0.17672011770027646,1.0,0.87,0.4,1.1,5,0.02,1.3,1.0,1.12,17.59904515663435,34
Q PARKLANDS,7,1,Juniper Rose,112.12324372769389,TIER0 - LOCK,"Box 1, Score 112.1, Margin 23.5%, 30 starts",0.375,61541,Warren Nicholls,2b,0.0,1,14,6,30,42950.0,31.0,10,10.0,2025-11-23,07:27PM,520,0.16666666666666669,29.91,"[30.31, 29.91]",5.03,,[],1.0,0.8,62.587763289869606,103.37972166998011,0.1999999999999993,0,0,0.4666666666666667,0.5,0.7,0.3114754098360656,0.0,0.2,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,24,1.0,0.02,1.12,17.385489802741557,1.0,1.0,1.2,1.0,0.634750397827535,1.0,0,1.0,MIDDLE,1.0,True,1.1,1.15,1.0,1.0,SAND,1.0302,0.6666666666666666,0.8333333333333334,0.6666666666666666,19.94794528337446,0.9473471732510033,0.8,1.0,0.16666666666666666,1.1,6,0.02,1.2,1.0,1.06,23.5351720721801,30
Cannington,4,8,Burnt Passion,110.89253436417053,TIER0 - LOCK,"Box 8, Score 110.9, Margin 27.9%, 33 starts",0.375,13581,Christopher Halse,2b,0.0,8,8,11,33,57671.0,34.0,7,7.0,2025-11-29,08:11PM,520,0.0,29.41,"[30.11, 29.65, 29.41]",5.39,,[],1.0,0.8,63.65181910914655,96.47495361781077,0.29044027881055934,0,0,0.24242424242424243,0.5,0.7,0.18857142857142858,0.0,0.3333333333333333,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,24,1.0,0.01,1.08,17.68106086365182,1.0,1.0,1.3,1.0,0.5197458011932076,1.0,0,1.0,MIDDLE,1.0,True,1.05,1.03,1.0,1.0,SAND,1.0302,0.5757575757575758,0.8,0.8,0.8583684151063078,0.24348657927227682,1.1,0.82,0.4,1.1,10,0.01,1.3,1.04,1.12,27.939885190892284,33
SANDOWN,7,1,Sharapova Star,109.00839544077938,TIER0 - LOCK,"Box 1, Score 109.0, Margin 24.4%, 51 starts",0.375,13113,Tina Womann,3b,0.0,1,21,18,51,163430.0,52.0,7,14.0,2025-11-29,08:35PM,515,0.0,29.25,"[29.25, 29.88, 29.87]",4.96,,[],1.0,0.8,63.384615384615394,103.83064516129032,0.2946561084081275,0,0,0.4117647058823529,0.5,1.0,0.4,0.0,0.35294117647058826,1.0,0.5,1.0,0.5,0.6,0.04,0.145,0.016999999999999987,0.04066666666666666,0.06,0.0,36,1.05,0.02,1.12,17.60683760683761,1.0,0.95,1.2,1.0,0.3496787359496213,0.95,0,1.0,MIDDLE,0.92,True,1.1,1.15,1.0,1.05,SAND,1.01,0.7647058823529411,0.95,0.4,0.5514612200856513,0.16180921550462576,1.1,0.85,0.4,1.1,10,0.005,1.2,1.0,1.12,24.42972066674677,51
WENTWORTH PARK,4,1,Zipping Ariel,107.97507502447381,TIER0 - LOCK,"Box 1, Score 108.0, Margin 22.4%, 37 starts",0.375,24414,Courtney Barnes,2b,0.0,1,10,13,37,50010.0,38.0,7,14.0,2025-11-29,08:08PM,520,-0.25,29.56,"[29.56, 29.98, 29.82]",4.36,,[],1.0,0.8,63.32882273342355,119.26605504587155,0.17307673314329633,0,0,0.2702702702702703,0.5,0.7,0.23333333333333334,0.0,0.35135135135135137,1.0,0.5,1.0,0.5,0.6,0.0,0.135,0.016999999999999987,0.04066666666666666,0.05,0.0,24,1.0,0.02,1.12,17.591339648173207,1.0,1.0,1.2,1.0,0.5238064362349291,1.0,0,1.0,MIDDLE,1.0,True,1.1,1.08,1.0,1.0,MIXED,1.02,0.6216216216216216,0.9,0.75,9.639808938548738,0.21294235004912684,0.8,0.92,0.3,1.1,10,0.005,1.2,1.0,1.12,22.359168152387095,37
GAWLER,1,1,Caribbean Crown,107.90528899174757,TIER0 - LOCK,"Box 1, Score 107.9, Margin 41.5%, 34 starts",0.375,12261,Ben Rawlings,2b,0.0,1,7,15,34,12215.0,35.0,6,6.0,2025-11-26,11:57AM,643,0.0,38.04,[38.04],9.27,,[],1.0,0.8,60.851735015772874,69.36353829557713,0.0,0,0,0.20588235294117646,0.5,0.7,0.2966101694915254,0.0,0.4411764705882353,1.0,0.5,1.0,0.5,0.6,0.0,0.135,0.016999999999999987,0.04066666666666666,0.05,0.0,24,1.0,0.02,1.12,16.903259726603576,1.0,1.0,1.3,1.0,0.30804579542661437,1.0,0,1.0,LONG,1.0,False,0.95,1.15,1.0,1.0,SAND,1.0302,0.6470588235294118,0.2,0.6,,0.36472592449673763,1.1,0.87,0.0,1.1,5,0.02,1.3,1.0,1.12,41.46470105090977,34
DARWIN,2,1,Mish Mash,105.03565857714791,TIER0 - LOCK,"Box 1, Score 105.0, Margin 26.8%, 40 starts",0.375,45114,Harrison Brown,3b,0.0,1,7,6,40,9050.0,41.0,4,7.0,2025-09-07,06:49PM,312,0.6,18.07,"[18.32, 18.34, 18.17]",7.14,,[],1.0,0.8,62.15827338129496,43.69747899159664,0.07586537784493949,0,0,0.175,1.0,0.7,0.18374558303886926,0.0,0.15,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,17.26618705035971,1.0,1.0,1.3,0.85,0.31214148838132333,1.0,0,1.0,SPRINT,1.0,True,1.1,1.03,0.85,1.05,SAND,1.0302,0.325,0.9166666666666666,0.8333333333333334,0.29491329631791807,0.09709102258533886,1.1,1.0,0.5,1.0,6,0.02,1.3,1.0,1.12,26.799507365919066,40
GAWLER,2,1,Secret Super,103.34222127192592,TIER0 - LOCK,"Box 1, Score 103.3, Margin 20.3%, 36 starts",0.375,14331,Colin Swain,2d,0.0,1,12,11,36,16415.0,34.0,5,5.0,2025-11-28,11:23AM,400,0.25,22.58,"[22.63, 22.97, 22.58]",8.58,,[],1.0,0.8,63.7732506643047,46.62004662004662,0.17326921891156047,0,0,0.3333333333333333,1.0,0.7,0.26744186046511625,0.0,0.3055555555555556,1.0,0.5,1.0,0.5,0.6,0.0,0.135,0.016999999999999987,0.04066666666666666,0.05,0.0,24,1.0,0.02,1.12,17.71479185119575,1.0,1.0,1.3,1.0,0.584820308477421,1.0,0,1.0,MIDDLE,1.0,False,0.95,1.15,1.0,1.0,SAND,1.0302,0.6388888888888888,0.75,0.75,16.10155855707695,0.21424285285628678,0.8,0.87,0.5,1.0,4,0.02,1.3,1.0,1.12,20.299293219811396,36
GAWLER,7,1,Binnaway Pearl,102.68514007685606,TIER0 - LOCK,"Box 1, Score 102.7, Margin 18.6%, 31 starts",0.375,11111,Nicole Price,2b,0.0,1,15,14,31,16125.0,32.0,3,3.0,2025-11-26,01:54PM,400,0.0,22.89,[22.89],8.66,,[],1.0,0.8,62.90956749672346,46.18937644341801,0.0,0,0,0.4838709677419355,1.0,0.7,0.4838709677419355,0.0,0.45161290322580644,1.0,0.5,1.0,0.5,0.6,0.0,0.135,0.016999999999999987,0.04066666666666666,0.05,0.0,24,1.0,0.02,1.12,17.47487986020096,1.0,1.0,1.3,0.85,0.35393084373095496,1.0,0,1.0,MIDDLE,1.0,False,0.95,1.15,0.85,1.0,SAND,1.0302,0.9354838709677419,0.3333333333333333,0.3333333333333333,18.74541914179038,0.12596295751794165,0.8,0.87,0.3333333333333333,1.1,6,0.02,1.3,1.0,1.12,18.558989811638234,31
Cannington,7,1,Iron Works,101.30167282867804,TIER0 - LOCK,"Box 1, Score 101.3, Margin 17.0%, 42 starts",0.375,25121,Paul Stuart,3d,0.0,1,15,11,42,129166.0,43.0,7,7.0,2025-11-29,09:02PM,601,0.0,34.74,[34.74],9.68,,[],1.0,0.8,62.27979274611399,62.086776859504134,0.0,0,0,0.35714285714285715,0.5,0.7,0.291005291005291,0.0,0.2619047619047619,1.0,0.5,1.0,0.5,0.6,0.0,0.185,0.016999999999999987,0.04066666666666666,0.1,0.0,36,1.05,0.02,1.12,17.299942429476108,1.0,0.95,1.3,1.0,0.7778329810718637,1.0,0,1.0,LONG,0.92,False,0.95,1.15,1.0,1.05,SAND,1.01,0.6190476190476191,0.5,0.4166666666666667,0.4561736973845585,0.649851265034289,1.1,0.82,0.16666666666666666,1.1,6,0.02,1.3,1.0,1.12,16.97189039980042,42
SALE,8,8,Strike It Mike,100.2028794408129,TIER0 - LOCK,"Box 8, Score 100.2, Margin 20.9%, 40 starts",0.375,17111,Matthew Clark,2d,0.0,8,9,13,40,21880.0,41.0,6,6.0,2025-11-23,07:58PM,510,0.0,,,5.08,,[],1.0,0.8,,100.39370078740157,0.0,0,0,0.225,0.5,0.7,0.208955223880597,0.0,0.325,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,24,1.0,0.01,1.08,,0.95,1.0,1.3,1.0,0.40223430409432587,1.0,0,1.0,MIDDLE,1.0,False,1.0,1.08,1.0,1.0,SAND,1.0302,0.55,0.6666666666666666,0.9166666666666666,18.053241456966663,0.6091182151274069,0.8,0.95,0.5,1.0,6,-0.01,1.3,1.08,1.12,20.934083447145678,40
Q PARKLANDS,9,8,Brunswick Flyer,98.52644363290072,TIER0 - LOCK,"Box 8, Score 98.5, Margin 17.0%, 31 starts",0.375,322x1,Bruce Timbs,3d,0.0,8,11,14,31,71020.0,,11,11.0,2025-11-27,09:30PM,520,0.0,29.88,[29.88],5.02,,[],1.0,0.8,62.65060240963855,103.58565737051794,0.0,0,0,0.3548387096774194,0.0,0.7,0.37777777777777777,0.0,0.45161290322580644,1.0,0.5,0.7,0.5,0.6,0.5,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,36,1.05,0.01,1.08,17.402945113788487,1.0,1.0,1.2,0.97,0.5523184088534318,1.0,0,1.0,MIDDLE,1.0,False,1.0,1.15,0.97,1.05,SAND,1.0302,0.8064516129032258,0.7222222222222222,0.4444444444444444,16.02986404483509,0.8626029959207359,0.8,1.0,0.3333333333333333,1.1,9,0.01,1.2,1.08,1.06,16.964543051119563,31
Q STRAIGHT,5,8,Here We Go,96.0585009709399,TIER0 - LOCK,"Box 8, Score 96.1, Margin 32.6%, 40 starts",0.375,41471,Josh Priest,3d,0.0,8,8,9,40,25335.0,33.0,7,7.0,2025-11-27,12:54PM,350,0.0,18.58,"[19.02, 18.58, 18.97]",3.71,,[],1.0,0.8,67.81485468245427,94.33962264150944,0.19669491322575952,0,0,0.2,0.5,0.7,0.2,0.0,0.225,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,36,1.05,0.01,1.08,18.837459634015072,1.1,1.0,1.3,1.0,0.5818849056597712,1.0,0,1.0,SPRINT,1.0,True,1.05,1.08,1.0,1.05,SAND,1.0302,0.425,1.0,1.0,10.638265473683969,0.17161811611184322,0.8,0.92,0.4444444444444444,1.0,9,0.01,1.3,1.0,1.12,32.61159167325298,40
GOULBURN,8,8,Revved Up,91.88480000937517,TIER0 - LOCK,"Box 8, Score 91.9, Margin 29.3%, 34 starts",0.375,72231,Mark Wilcox,3d,0.0,8,14,8,34,24290.0,35.0,7,7.0,2025-11-28,02:39PM,350,0.0,19.7,"[19.77, 19.77, 19.7]",6.4,,[],1.0,0.8,63.95939086294417,54.6875,0.03299831645537235,0,0,0.4117647058823529,0.5,0.7,0.4117647058823529,0.0,0.23529411764705882,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,36,1.05,0.01,1.08,17.766497461928935,1.0,1.0,1.3,1.0,0.3795752197007577,1.0,0,1.0,SPRINT,1.0,False,1.0,1.15,1.0,1.05,GRASS,1.02,0.6470588235294118,0.65,0.7,16.795369042037184,0.2072062847609709,0.8,0.85,0.5,1.0,10,0.01,1.3,1.0,1.12,29.289658842824533,34
WENTWORTH PARK,8,8,Cold Cold Night,91.66383344253019,TIER0 - LOCK,"Box 8, Score 91.7, Margin 18.1%, 32 starts",0.375,11213,Nathan Goodwin,2d,0.0,8,9,10,32,38670.0,33.0,5,12.0,2025-11-27,09:18PM,520,0.0,29.58,"[30.1, 29.93, 29.96]",5.43,,[],1.0,0.8,63.28600405679513,95.76427255985267,0.07408703590297683,0,0,0.28125,1.0,0.7,0.2602739726027397,0.0,0.3125,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,24,1.0,0.01,1.08,17.57944557133198,1.0,1.0,1.2,1.0,0.47892905025075583,1.0,0,1.0,MIDDLE,1.0,False,1.0,1.15,1.0,1.0,MIXED,1.02,0.59375,0.25,0.75,14.90784623093134,0.38146334779934854,0.8,0.92,0.375,1.1,8,0.01,1.2,1.08,1.06,18.06689561274028,32
Meadows,8,1,Zipping Kirk,91.51373327686706,TIER0 - LOCK,"Box 1, Score 91.5, Margin 16.8%, 30 starts",0.375,26721,Dallan Klemke,2d,0.0,1,6,11,30,24250.0,31.0,9,9.0,2025-11-28,09:34PM,600,0.0,33.69,"[34.08, 33.69, 34.55]",,True,[],1.0,0.8,64.11398040961711,,0.35159951965584657,0,0,0.2,0.5,0.7,0.1743119266055046,0.0,0.36666666666666664,1.0,0.5,1.0,0.5,0.6,0.0,0.145,0.016999999999999987,0.04066666666666666,0.06,0.0,24,1.0,0.02,1.12,17.809439002671418,1.0,1.0,1.2,1.0,0.5207902248871359,1.0,0,1.0,LONG,1.0,False,0.95,1.03,1.0,1.0,SAND,1.0302,0.5666666666666667,0.875,0.8125,1.5244707745614374,0.41361645449446527,1.0,0.85,0.25,1.1,8,0.005,1.2,1.0,1.12,16.84918509441967,30
GUNNEDAH,6,1,Kiarni Bad Girl,90.55086921953517,TIER0 - LOCK,"Box 1, Score 90.6, Margin 32.0%, 30 starts",0.375,42531,Thomas Roche,2b,0.0,1,5,15,30,12865.0,31.0,7,7.0,2025-11-26,08:18PM,527,0.0,30.17,"[31.04, 30.58, 30.17]",3.93,,[],1.0,0.8,62.8836592641697,134.09669211195927,0.3553714801287354,0,0,0.16666666666666666,0.5,0.7,0.15591397849462366,0.0,0.5,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,24,1.0,0.02,1.12,17.467683128936027,1.0,1.0,1.3,1.0,0.43995513472937053,1.0,0,1.0,MIDDLE,1.0,False,0.95,1.03,1.0,1.0,SAND,1.0302,0.6666666666666666,0.3333333333333333,0.5555555555555556,13.534455769777994,0.3095965116082547,0.8,1.0,0.4444444444444444,1.0,9,0.005,1.3,1.0,1.12,31.950779088629673,30
TAREE SUPER TRACK,9,1,Bugatti Talent,87.61477227945969,TIER0 - LOCK,"Box 1, Score 87.6, Margin 47.4%, 60 starts",0.375,21121,Jacqueline Davis,4b,0.0,1,14,19,60,28900.0,7.0,14,14.0,2025-11-26,05:37PM,300,0.13333333333333341,16.94,"[17.34, 17.32, 17.53]",2.39,,[],1.0,0.8,63.754427390791015,125.52301255230125,0.09463379711052308,0,0,0.23333333333333334,0.0,0.7,0.23333333333333334,0.0,0.31666666666666665,1.0,0.5,1.0,0.5,0.6,0.0,0.05499999999999999,0.016999999999999987,0.04066666666666666,-0.03,0.0,48,0.93,0.02,1.12,17.709563164108616,1.0,0.95,1.2,0.97,0.6500587666192097,0.95,0,1.0,SPRINT,0.92,True,1.1,1.08,0.97,0.93,SAND,1.01,0.55,1.0,1.0,35.17414500830725,0.2824358334206183,0.8,1.08,0.4,1.1,5,0.02,1.2,1.0,1.06,47.430260412506335,60
BROKEN HILL,4,1,Possible,87.23844500508761,TIER0 - LOCK,"Box 1, Score 87.2, Margin 24.3%, 36 starts",0.375,42218,Clayton Trengove,2b,0.0,1,4,16,36,11225.0,37.0,7,14.0,2025-11-23,09:07PM,375,0.0,,,,,[],1.0,0.8,,,0.0,0,0,0.1111111111111111,0.5,0.7,0.2099236641221374,0.0,0.4444444444444444,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,24,1.0,0.02,1.12,,0.95,1.0,1.2,1.0,0.40354227272793536,1.0,0,1.0,SPRINT,1.0,False,0.95,1.08,1.0,1.0,SAND,1.0302,0.5555555555555556,0.6875,1.0,27.65851144592459,0.1225910740167125,0.8,1.0,0.125,1.1,8,0.005,1.2,1.0,1.12,24.25001660847206,36
SANDOWN,5,8,He's Magic,86.46222403355452,TIER0 - LOCK,"Box 8, Score 86.5, Margin 16.0%, 56 starts",0.375,13631,Kayla Cottrell,3d,0.0,8,20,22,56,107005.0,57.0,8,8.0,2025-11-29,07:50PM,595,0.0,34.17,"[34.6, 34.17]",8.94,,[],1.0,0.8,62.68656716417911,66.55480984340045,0.21499999999999986,0,0,0.35714285714285715,0.5,1.0,0.4,0.0,0.39285714285714285,1.0,0.5,0.7,0.5,0.6,0.14,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,36,1.05,0.01,1.08,17.412935323383085,1.0,0.95,1.2,1.0,0.28294717934238794,0.95,0,1.0,LONG,0.92,False,1.0,1.15,1.0,1.05,SAND,1.01,0.75,0.3,0.55,2.2451948029173723,0.37139697667821003,1.0,0.85,0.2,1.1,10,0.01,1.2,1.08,1.12,15.9920268034919,56
BROKEN HILL,2,1,Bar Room Roses,84.29080015046094,TIER0 - LOCK,"Box 1, Score 84.3, Margin 27.5%, 50 starts",0.375,18611,Terry Gaiter,3b,0.0,1,11,18,50,23505.0,26.0,7,7.0,2025-10-19,07:14PM,375,0.0,21.67,"[22.18, 21.67]",,,[],1.0,0.8,62.298107983387176,,0.254999999999999,0,0,0.22,0.5,0.7,0.1484375,0.0,0.36,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,17.305029995385325,1.0,0.95,1.3,1.0,0.5447926581218363,1.0,0,1.0,SPRINT,0.92,False,0.95,1.0,1.0,1.05,SAND,1.01,0.58,0.7,0.8,,0.2736634185759352,1.1,1.0,0.0,1.1,5,0.02,1.3,1.0,1.12,27.471309490831135,50
TAREE SUPER TRACK,11,1,That's Okay,82.8319606801383,TIER0 - LOCK,"Box 1, Score 82.8, Margin 30.4%, 30 starts",0.375,72111,Helen Hanson,2b,0.0,1,6,3,30,6335.0,15.0,11,11.0,2025-11-26,06:23PM,300,0.0,17.32,"[17.54, 17.32]",6.37,,[],1.0,0.8,62.35565819861432,47.09576138147567,0.10999999999999943,0,0,0.2,0.0,0.7,0.1276595744680851,0.0,0.1,1.0,0.5,1.0,0.5,0.6,0.0,0.05499999999999999,0.016999999999999987,0.04066666666666666,-0.03,0.0,24,1.0,0.02,1.12,17.321016166281755,1.0,1.0,1.2,0.97,0.30435259409985677,1.0,0,1.0,SPRINT,1.0,True,1.1,1.0,0.97,1.0,SAND,1.0302,0.3,0.9,0.9,0.2335790222445393,0.09323804659758393,1.1,1.08,0.4,1.1,10,0.005,1.2,1.0,1.06,30.410538306522163,30
NOWRA,6,8,Skedaddle Maple,81.87479764679925,TIER0 - LOCK,"Box 8, Score 81.9, Margin 28.0%, 58 starts",0.375,25431,Mark Suttle,2b,0.0,8,13,16,58,29165.0,59.0,3,3.0,2025-11-27,09:13PM,520,0.0,29.63,"[29.69, 29.63]",4.29,True,[],1.0,0.8,63.17921025987176,121.21212121212122,0.030000000000001137,0,0,0.22413793103448276,1.0,0.7,0.21333333333333335,0.0,0.27586206896551724,1.0,0.5,0.7,0.5,0.6,0.18,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,24,1.0,0.01,1.08,17.549780627742155,1.0,0.95,1.3,0.85,0.6424344310202668,0.95,0,1.0,MIDDLE,0.92,False,1.0,1.08,0.85,1.0,GRASS,1.0,0.5,0.375,0.625,12.56910955576182,0.12158917949977596,0.8,1.0,0.5,1.0,8,0.01,1.3,1.08,1.12,27.961078305065435,58
