Track,RaceNumber,Box,DogName,FinalScore,Tier,LockReason,ExpectedWinRate,FormNumber,Trainer,SexAge,Weight,Draw,CareerWins,CareerPlaces,CareerStarts,PrizeMoney,RTC,DLR,DLW,RaceDate,RaceTime,Distance,BoxBiasFactor,BestTimeSec,Last3TimesSec,SectionalSec,TimeConverted,Margins,TrackConditionAdj,RestFactor,Speed_kmh,EarlySpeedIndex,FinishConsistency,MarginAvg,FormMomentum,ConsistencyIndex,RecentFormBoost,DistanceSuit,TrainerStrikeRate,OverexposedPenalty,PlaceRate,DLWFactor,WeightFactor,DrawFactor,FormMomentumNorm,MarginFactor,RTCFactor,BoxPositionBias,BoxPlaceRate,BoxTop3Rate,TrackBox1Adjustment,TrackBox4Adjustment,AgeMonths,AgeFactor,RailPreference,BoxPenaltyFactor,SpeedAtDistance,SpeedClassification,ExperienceTier,WinStreakFactor,FreshnessFactor,ClassRating,GradeFactor,Last3AvgFinish,Last3FinishFactor,RaceDistanceCategory,DistanceChangeFactor,IsFrontRunner,PaceBoxFactor,TrainerTier,FreshnessFactorV2,AgeFactorV2,TrackSurface,SurfacePreferenceFactor,WinPlaceRate,EarlySpeedPercentile,BestTimePercentile,FieldSpeedStd,FieldTimeStd,FieldSimilarityIndex,TrackUpsetFactor,CompetitorDensity,CompetitorAdjustment,FieldSize,FieldSizeAdjustment,WinStreakFactorV2,CloserBonus,TrainerMomentum,ScoreMargin,CareerStartsCheck
WARRNAMBOOL,6,1,Spring Lassen,81.7782331666933,TIER0 - LOCK,"Box 1, Score 81.8, Margin 28.6%, 42 starts",0.375,12841,Lisa Delbridge,3d,0.0,1,12,12,42,27945.0,27.0,8,8.0,2025-11-27,06:59PM,450,0.0,25.27,[25.27],6.52,,[],1.0,0.8,64.10763751483974,69.01840490797547,0.0,0,0,0.2857142857142857,0.5,0.7,0.2714285714285714,0.0,0.2857142857142857,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,17.80767708745548,1.0,0.95,1.2,1.0,0.6440249133797569,1.0,0,1.0,MIDDLE,0.92,False,0.95,1.15,1.0,1.05,SAND,1.01,0.5714285714285714,0.4,0.9,0.6783793556706794,0.31016303956324576,1.1,0.95,0.4,1.1,10,0.005,1.2,1.0,1.06,28.587230190462403,42
GRAFTON,5,1,Rudolf Rumble,81.40180721209664,TIER0 - LOCK,"Box 1, Score 81.4, Margin 24.3%, 36 starts",0.375,42341,Glen Northfield,3d,0.0,1,7,12,36,15775.0,17.0,7,7.0,2025-11-23,07:23PM,450,0.0,25.7,"[26.29, 25.7]",,True,[],1.0,0.8,63.03501945525293,,0.29499999999999993,0,0,0.19444444444444445,0.5,0.7,0.11711711711711711,0.0,0.3333333333333333,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,17.509727626459146,1.0,1.0,1.3,1.0,0.5285842847509983,1.0,0,1.0,MIDDLE,1.0,False,0.95,1.0,1.0,1.05,SAND,1.0302,0.5277777777777778,1.0,0.2,43.92133263199638,0.7931232214759844,0.8,1.0,0.4,1.1,10,0.005,1.3,1.0,1.12,24.255073359007792,36
Q PARKLANDS,4,1,Seriously,80.8270802295553,TIER0 - LOCK,"Box 1, Score 80.8, Margin 25.2%, 41 starts",0.375,67544,Tom Tzouvelis,2b,0.0,1,10,7,41,74920.0,42.0,7,33.0,2025-11-27,07:41PM,600,0.0,,,3.94,,[],1.0,0.8,,152.28426395939087,0.0,0,0,0.24390243902439024,0.5,0.7,0.27575757575757576,0.0,0.17073170731707318,0.4,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,24,1.0,0.02,1.12,,0.95,0.95,0.95,1.0,0.5672807792411588,1.0,0,1.0,LONG,0.92,True,1.1,1.15,1.0,1.0,SAND,1.01,0.4146341463414634,0.8333333333333334,0.9166666666666666,39.02620901380005,1.6350611609355792,0.8,1.0,0.3333333333333333,1.1,6,0.02,0.95,1.0,1.12,25.151442147610126,41
WARRNAMBOOL,7,8,Snowball One,79.83248073247067,TIER0 - LOCK,"Box 8, Score 79.8, Margin 31.4%, 37 starts",0.375,17871,Billy McRae,2b,0.0,8,11,7,37,20140.0,38.0,9,9.0,2025-11-27,07:17PM,450,0.0,28.13,[28.13],6.52,,[],1.0,0.8,57.58976182012087,69.01840490797547,0.0,0,0,0.2972972972972973,0.5,0.7,0.2972972972972973,0.0,0.1891891891891892,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,24,1.0,0.01,1.08,15.997156061144686,0.9,1.0,1.2,1.0,0.5467393649716906,1.0,0,1.0,MIDDLE,1.0,True,1.05,1.15,1.0,1.0,SAND,1.0302,0.4864864864864865,0.7777777777777778,0.1111111111111111,4.870009905875096,1.7274700511956143,0.8,0.95,0.3333333333333333,1.1,9,0.01,1.2,1.0,1.06,31.431441683111245,37
ROCKHAMPTON,5,8,Quinlan,79.39775238314671,TIER0 - LOCK,"Box 8, Score 79.4, Margin 15.2%, 44 starts",0.375,35421,Juanita Thompson,3d,0.0,8,6,12,44,18165.0,45.0,7,7.0,2025-11-26,08:17PM,510,0.25,30.21,"[30.21, 30.32, 30.27]",,True,[],1.0,0.8,60.77457795431976,,0.04496912521077322,0,0,0.13636363636363635,0.5,0.7,0.15165876777251186,0.0,0.2727272727272727,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,36,1.05,0.01,1.08,16.881827209533267,1.0,0.95,1.3,1.0,0.577032694760103,1.0,0,1.0,MIDDLE,0.92,False,1.0,1.03,1.0,1.05,SAND,1.01,0.4090909090909091,0.7857142857142857,0.14285714285714285,0.33873227121400834,0.21164885564358288,1.1,1.0,0.14285714285714285,1.1,7,0.0,1.3,1.08,1.12,15.158819136706093,44
HOBART,9,1,Rojo Molly,79.00987476161669,TIER0 - LOCK,"Box 1, Score 79.0, Margin 38.1%, 43 starts",0.375,33512,Robin Grubb,3b,0.0,1,11,16,43,40485.0,44.0,7,14.0,2025-11-27,10:00PM,340,0.25,18.92,"[18.92, 19.06, 19.75]",5.21,True,[],1.0,0.8,64.69344608879493,65.25911708253359,0.36279777042068767,0,0,0.2558139534883721,0.5,0.7,0.2558139534883721,0.0,0.37209302325581395,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,17.970401691331922,1.0,0.95,1.2,1.0,0.4660159915811883,1.0,0,1.0,SPRINT,0.92,False,0.95,1.15,1.0,1.05,SAND,1.01,0.627906976744186,0.1111111111111111,1.0,0.5398230232944858,0.2785577937241101,1.1,1.05,0.2222222222222222,1.1,9,0.005,1.2,1.0,1.06,38.14961715998629,43
MT GAMBIER,6,8,Is He Lucky,78.0708920831958,TIER0 - LOCK,"Box 8, Score 78.1, Margin 19.6%, 76 starts",0.375,54816,Paul Hammerstein,2d,0.0,8,26,17,76,38785.0,77.0,2,7.0,2025-11-27,01:37PM,400,0.0,,,10.22,,[],1.0,0.8,,39.138943248532286,0.0,0,0,0.34210526315789475,1.0,0.7,0.2543859649122807,0.0,0.2236842105263158,1.0,0.5,0.7,0.5,0.6,0.54,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,24,1.0,0.01,1.08,,0.95,0.9,1.3,0.85,0.9210909936674737,0.95,0,1.0,MIDDLE,0.92,False,1.0,1.15,0.85,1.0,SAND,1.01,0.5657894736842105,0.375,0.875,8.794746126919174,0.1747855829294858,0.8,1.0,0.25,1.1,8,0.01,1.3,1.0,1.12,19.64462784933949,76
WENTWORTH PARK,9,8,Total Faith,76.80421548097809,TIER0 - LOCK,"Box 8, Score 76.8, Margin 14.0%, 59 starts",0.375,14611,Alan Clare,4d,0.0,8,21,12,59,73435.0,12.0,14,14.0,2025-11-29,09:58PM,520,0.0,29.72,"[29.97, 30.04, 29.72]",5.46,,[],1.0,0.8,62.98788694481831,95.23809523809524,0.13735598518691017,0,0,0.3559322033898305,0.0,0.7,0.3559322033898305,0.0,0.2033898305084746,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,48,0.93,0.01,1.08,17.49663526244953,1.0,0.95,1.2,0.97,0.634737201589777,0.95,0,1.0,MIDDLE,0.92,False,1.0,1.15,0.97,0.93,MIXED,1.0,0.559322033898305,0.6,0.4,2.99702732839842,0.27325202042559016,1.0,0.92,0.4,1.1,5,-0.01,1.2,1.08,1.06,14.043446629151433,59
Q STRAIGHT,7,1,Cousin Henry,75.28519259454657,TIER0 - LOCK,"Box 1, Score 75.3, Margin 40.7%, 48 starts",0.375,11813,David Campbell,3d,0.0,1,16,16,48,35665.0,49.0,7,14.0,2025-11-27,01:31PM,350,0.25,18.76,"[18.84, 18.76, 19.01]",3.86,,[],1.0,0.8,67.16417910447761,90.67357512953369,0.10424330514074609,0,0,0.3333333333333333,0.5,0.7,0.22580645161290322,0.0,0.3333333333333333,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,18.656716417910445,1.1,0.95,1.2,1.0,0.6903951811687921,1.0,0,1.0,SPRINT,0.92,False,0.95,1.08,1.0,1.05,SAND,1.01,0.6666666666666666,0.5625,0.5,38.20173466176963,1.1636365411931684,0.8,0.92,0.25,1.1,8,0.005,1.2,1.0,1.06,40.74200842640209,48
SALE,5,8,She's Our Art,75.19221969806006,TIER0 - LOCK,"Box 8, Score 75.2, Margin 15.3%, 47 starts",0.375,21471,Russell Edwards,3b,0.0,8,5,13,47,9565.0,48.0,4,4.0,2025-11-26,08:23PM,435,0.0,24.45,"[24.45, 25.04]",5.18,,[],1.0,0.8,64.04907975460124,83.97683397683399,0.29499999999999993,0,0,0.10638297872340426,1.0,0.7,0.1,0.0,0.2765957446808511,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,36,1.05,0.01,1.08,17.791411042944787,1.0,0.95,1.3,0.85,0.4852876714816524,1.0,0,1.0,MIDDLE,0.92,True,1.05,1.0,0.85,1.05,SAND,1.01,0.3829787234042553,0.875,0.625,11.855474797611564,1.162325255683623,0.8,0.95,0.375,1.1,8,0.01,1.3,1.0,1.12,15.265898628628142,47
The Gardens,5,8,Chopper Express,74.96297315154304,TIER0 - LOCK,"Box 8, Score 75.0, Margin 13.8%, 40 starts",0.375,14141,Robert Barnden,2d,0.0,8,16,12,40,31560.0,41.0,8,8.0,2025-11-29,08:24PM,400,0.0,22.72,[22.72],11.06,,[],1.0,0.8,63.380281690140855,36.16636528028933,0.0,0,0,0.4,0.5,0.7,0.4,0.0,0.3,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,24,1.0,0.01,1.08,17.605633802816904,1.0,1.0,1.2,1.0,0.6981228346358408,1.0,0,1.0,MIDDLE,1.0,False,1.0,1.15,1.0,1.0,SAND,1.0302,0.7,0.25,0.5625,8.695533268373831,0.3208025650057764,0.8,1.05,0.25,1.1,8,0.01,1.2,1.0,1.06,13.806552135859123,40
TAREE SUPER TRACK,10,8,Gigi La Femme,73.78798484345106,TIER0 - LOCK,"Box 8, Score 73.8, Margin 30.2%, 36 starts",0.375,78471,Janette Flipp,4b,0.0,8,6,9,36,13580.0,6.0,4,4.0,2025-11-26,05:55PM,300,0.09999999999999998,17.41,"[17.82, 17.41, 17.68]",6.43,,[],1.0,0.8,62.033314187248706,46.65629860031105,0.17016332024133626,0,0,0.16666666666666666,1.0,0.7,0.1568627450980392,0.0,0.25,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,48,0.93,0.01,1.08,17.23147616312464,1.0,1.0,1.3,0.85,0.44560861971600096,1.0,0,1.0,SPRINT,1.0,False,1.0,1.03,0.85,0.93,SAND,1.0302,0.4166666666666667,0.3,0.35,0.3889922075564778,0.21529308189329002,1.1,1.08,0.4,1.1,10,0.01,1.3,1.0,1.12,30.156971902577194,36
Warragul,12,1,Go Stevie,73.26505276678587,TIER0 - LOCK,"Box 1, Score 73.3, Margin 17.4%, 77 starts",0.375,x5271,Chris Johannsen,4d,0.0,1,13,26,77,44645.0,5.0,5,5.0,2025-11-28,06:27PM,400,0.0,24.76,[24.76],8.26,,[],1.0,0.8,58.158319870759286,48.426150121065376,0.0,0,0,0.16883116883116883,1.0,0.7,0.20754716981132076,0.0,0.33766233766233766,1.0,0.5,1.0,0.5,0.6,0.0,0.105,0.016999999999999987,0.04066666666666666,0.02,0.0,48,0.93,0.02,1.12,16.15508885298869,1.0,0.9,1.3,1.0,0.6196054489546043,0.95,0,1.0,MIDDLE,0.92,False,0.95,1.08,1.0,0.93,SAND,1.01,0.5064935064935064,0.375,0.125,0.6778733408582309,1.1485635438606412,1.1,0.95,0.375,1.1,8,0.005,1.3,1.0,1.12,17.390150392748556,77
GOULBURN,9,8,Spring Gold,72.00366289074123,TIER0 - LOCK,"Box 8, Score 72.0, Margin 27.2%, 50 starts",0.375,88411,Gregory Board,4b,0.0,8,15,12,50,34595.0,12.0,7,7.0,2025-11-28,03:04PM,350,0.0,20.0,[20.0],6.44,,[],1.0,0.8,63.0,54.347826086956516,0.0,0,0,0.3,0.5,0.7,0.2948717948717949,0.0,0.24,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,48,0.93,0.01,1.08,17.5,1.0,0.95,1.3,1.0,0.45299223975093816,1.0,0,1.0,SPRINT,0.92,False,1.0,1.15,1.0,0.93,GRASS,1.0,0.54,0.4,0.4,28.728689487607426,0.3628636107410072,0.8,0.85,0.4,1.1,5,-0.01,1.3,1.0,1.12,27.181722880348268,50
Q PARKLANDS,11,1,Chill Pill Jill,71.86289046182465,TIER0 - LOCK,"Box 1, Score 71.9, Margin 17.2%, 54 starts",0.375,42154,Carlin Wendt,3b,0.0,1,8,16,54,50860.0,6.0,7,19.0,2025-11-23,08:51PM,520,0.19999999999999996,29.88,"[30.06, 30.01, 29.88]",4.99,,[],1.0,0.8,62.65060240963855,104.20841683366733,0.07586537784494049,0,0,0.14814814814814814,0.5,0.7,0.14814814814814814,0.0,0.2962962962962963,0.7,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,17.402945113788487,1.0,0.95,1.05,1.0,0.6907319988127558,0.95,0,1.0,MIDDLE,0.92,True,1.1,1.0,1.0,1.05,SAND,1.01,0.4444444444444444,1.0,1.0,1.4239036442567736,0.07797435475847088,1.1,1.0,0.4,1.1,5,0.02,1.05,1.0,1.02,17.223394872645223,54
The Gardens,12,1,My Something,71.07849703897497,TIER0 - LOCK,"Box 1, Score 71.1, Margin 24.7%, 58 starts",0.375,67261,Beverley Sloan,3b,0.0,1,3,10,58,7145.0,43.0,4,4.0,2025-11-29,10:50PM,400,0.0,22.79,"[22.95, 22.79]",11.01,,[],1.0,0.8,63.18560772268539,36.33060853769301,0.08000000000000007,0,0,0.05172413793103448,1.0,0.7,0.09659090909090909,0.0,0.1724137931034483,1.0,0.5,1.0,0.5,0.6,0.0,0.05499999999999999,0.016999999999999987,0.04066666666666666,-0.03,0.0,36,1.05,0.02,1.12,17.551557700745942,1.0,0.95,1.3,0.85,0.33217310240853243,0.95,0,1.0,MIDDLE,0.92,True,1.1,0.95,0.85,1.05,SAND,1.01,0.22413793103448276,0.875,0.625,0.2906749720602932,0.2948092603701587,1.1,1.05,0.375,1.1,8,0.005,1.3,1.0,1.12,24.701751937951748,58
HEALESVILLE,2,1,Divine Ratio,70.91077870286419,TIER0 - LOCK,"Box 1, Score 70.9, Margin 27.6%, 34 starts",0.375,27381,Andrew Broadley,2b,0.0,1,1,13,34,4810.0,35.0,7,7.0,2025-11-28,10:34AM,350,0.0,19.83,"[20.03, 19.83, 20.03]",6.66,,[],1.0,0.8,63.540090771558255,52.55255255255255,0.09428090415820768,0,0,0.029411764705882353,0.5,0.7,0.029411764705882353,0.0,0.38235294117647056,1.0,0.5,1.0,0.5,0.6,0.0,0.05499999999999999,0.016999999999999987,0.04066666666666666,-0.03,0.0,24,1.0,0.02,1.12,17.650025214321737,1.0,1.0,1.3,1.0,0.33119802576268353,1.0,0,1.0,SPRINT,1.0,False,0.95,0.95,1.0,1.0,SAND,1.0302,0.4117647058823529,0.5625,0.5,14.202664066759672,1.627743105974533,0.8,1.02,0.375,1.1,8,0.005,1.3,1.0,1.12,27.55782365021591,34
GUNNEDAH,2,1,Kiarni Bolt,69.95657525537459,TIER0 - LOCK,"Box 1, Score 70.0, Margin 24.7%, 98 starts",0.375,45121,Thomas Roche,4d,0.0,1,11,31,98,27295.0,73.0,7,7.0,2025-11-26,06:51PM,340,0.022222222222222254,19.3,"[19.3, 19.8, 19.35]",6.2,,[],1.0,0.8,63.41968911917098,54.83870967741935,0.2248456260538672,0,0,0.11224489795918367,0.5,0.7,0.15591397849462366,-0.1,0.3163265306122449,1.0,0.5,1.0,0.5,0.6,0.46,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,48,0.93,0.02,1.12,17.616580310880828,1.0,0.8,1.3,1.0,0.6408332610649776,0.95,0,1.0,SPRINT,0.85,True,1.1,1.03,1.0,0.93,SAND,0.9898,0.42857142857142855,1.0,0.9,1.3546945850012797,0.3048770243885218,1.1,1.0,0.4,1.1,5,0.02,1.3,1.0,1.12,24.713398774006066,98
Capalaba,12,8,Hara's Honda,68.75683627504787,TIER0 - LOCK,"Box 8, Score 68.8, Margin 30.2%, 43 starts",0.375,35113,Jemma Daley,3b,0.0,8,10,14,43,36710.0,19.0,5,10.0,2025-11-26,03:58PM,366,0.0,19.7,"[19.93, 19.76, 19.7]",1.83,,[],1.0,0.8,66.88324873096447,200.0,0.09741092797468295,0,0,0.23255813953488372,1.0,0.7,0.25,0.0,0.32558139534883723,1.0,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,36,1.05,0.01,1.08,18.578680203045685,1.1,0.95,1.2,1.0,0.5404652123061658,1.0,0,1.0,SPRINT,0.92,False,1.0,1.15,1.0,1.05,MIXED,1.0,0.5581395348837209,0.4166666666666667,0.8333333333333334,3.5980637614212276,0.20944370763206652,0.8,1.0,0.5,1.0,6,-0.01,1.2,1.0,1.06,30.18725190371814,43
DARWIN,1,1,Mum Knows Best,67.62607644986235,TIER0 - LOCK,"Box 1, Score 67.6, Margin 20.6%, 31 starts",0.375,45141,Harrison Brown,3d,0.0,1,7,9,31,7890.0,32.0,10,10.0,2025-11-26,04:49PM,383,0.16666666666666669,22.12,[22.12],10.82,,[],1.0,0.8,62.33273056057866,35.39741219963032,0.0,0,0,0.22580645161290322,0.5,0.7,0.1927710843373494,0.0,0.2903225806451613,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,17.314647377938517,1.0,1.0,1.2,1.0,0.27144020904248123,1.0,0,1.0,SPRINT,1.0,False,0.95,1.03,1.0,1.05,SAND,1.0302,0.5161290322580645,0.625,0.5625,57.39087445869999,0.9608989466714417,0.8,1.0,0.5,1.0,8,0.005,1.2,1.0,1.06,20.569495880165295,31
DARWIN,10,1,Texas Diva,67.57477047498107,TIER0 - LOCK,"Box 1, Score 67.6, Margin 18.6%, 32 starts",0.375,2x311,Ronald Phillips,3b,0.0,1,5,13,32,13115.0,4.0,29,29.0,2025-11-26,08:05PM,312,0.0,20.27,[20.27],3.98,,[],1.0,0.8,55.41193882585101,78.39195979899498,0.0,0,0,0.15625,0.0,0.7,0.20952380952380953,0.0,0.40625,0.7,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,15.392205229403059,0.9,1.0,0.95,0.87,0.3499611435284434,1.0,0,1.0,SPRINT,1.0,True,1.1,1.08,0.87,1.05,SAND,1.0302,0.5625,0.8333333333333334,0.16666666666666666,15.561728020922654,0.9715022731145135,0.8,1.0,0.16666666666666666,1.1,6,0.02,0.95,1.0,1.02,18.588474652154694,32
SHEPPARTON,5,1,Jayden,67.3620828431249,TIER0 - LOCK,"Box 1, Score 67.4, Margin 20.7%, 42 starts",0.375,44414,Jason Formosa,3d,0.0,1,3,8,42,6470.0,42.0,5,8.0,2025-11-27,12:02PM,450,0.0,24.53,[24.53],6.56,,[],1.0,0.8,66.04158173664901,68.59756097560977,0.0,0,0,0.07142857142857142,1.0,0.7,0.1065989847715736,0.0,0.19047619047619047,1.0,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,18.344883815735834,1.1,0.95,1.2,1.0,0.4273331303446406,1.0,0,1.0,MIDDLE,0.92,False,0.95,1.0,1.0,1.05,SAND,1.01,0.2619047619047619,0.625,0.875,1.1159346876879777,0.6952684476414234,1.1,1.05,0.5,1.0,8,0.005,1.2,1.0,1.12,20.695948384730944,42
WARRNAMBOOL,11,1,Zoom Boom,66.59295697556439,TIER0 - LOCK,"Box 1, Score 66.6, Margin 15.9%, 43 starts",0.375,24373,Nadine Jack,3d,0.0,1,8,14,43,15640.0,41.0,8,59.0,2025-11-27,08:45PM,390,0.0,22.53,[22.53],8.34,,[],1.0,0.8,62.31691078561917,46.76258992805756,0.0,0,0,0.18604651162790697,0.5,0.7,0.2463768115942029,0.0,0.32558139534883723,0.4,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,17.310252996005325,1.0,0.95,0.95,1.0,0.48180242911904175,1.0,0,1.0,SPRINT,0.92,True,1.1,1.08,1.0,1.05,SAND,1.01,0.5116279069767442,0.95,0.5,0.5840862189328334,0.8327197741270599,1.1,0.95,0.5,1.0,10,0.005,0.95,1.0,1.12,15.893642579684142,43
Capalaba,5,8,Specifically,64.04834439227781,TIER0 - LOCK,"Box 8, Score 64.0, Margin 27.1%, 33 starts",0.375,12568,Chris Brydon,2d,0.0,8,5,11,33,17095.0,34.0,7,28.0,2025-11-26,01:32PM,366,0.0,19.74,"[19.89, 19.74]",1.82,,[],1.0,0.8,66.74772036474165,201.09890109890108,0.07500000000000107,0,0,0.15151515151515152,0.5,0.7,0.1694915254237288,0.0,0.3333333333333333,0.7,0.5,0.7,0.5,0.6,0.0,0.035,0.016999999999999987,0.02366666666666667,0.0,0.0,24,1.0,0.01,1.08,18.54103343465046,1.1,1.0,1.05,1.0,0.36881629912801656,1.0,0,1.0,SPRINT,1.0,False,1.0,1.03,1.0,1.0,MIXED,1.02,0.48484848484848486,0.4,0.8,3.3268986940367675,0.4153459067117719,0.8,1.0,0.4,1.1,10,0.01,1.05,1.0,1.12,27.100858264496036,33
SHEPPARTON,6,1,Ethanol Vision,61.8280292333371,TIER0 - LOCK,"Box 1, Score 61.8, Margin 27.2%, 39 starts",0.375,38713,Simone Fisher,2b,0.0,1,4,14,39,8605.0,40.0,8,15.0,2025-11-27,12:18PM,450,0.0,23.08,"[24.42, 24.1, 23.08]",6.62,,[],1.0,0.8,70.19064124783363,67.97583081570997,0.5713920623257648,0,0,0.10256410256410256,0.5,0.7,0.10256410256410256,0.0,0.358974358974359,0.7,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,24,1.0,0.02,1.12,19.497400346620452,1.1,1.0,1.05,1.0,0.4928217438781115,1.0,0,1.0,MIDDLE,1.0,False,0.95,1.0,1.0,1.0,SAND,1.0302,0.46153846153846156,0.5,0.875,0.2939338212080936,0.9089528250108682,1.1,1.05,0.375,1.1,8,0.005,1.05,1.0,1.02,27.177007146657388,39
GOULBURN,7,1,Balmoral Queen,57.508870142678326,TIER0 - LOCK,"Box 1, Score 57.5, Margin 26.1%, 71 starts",0.375,14343,Angela Della Bosca,3b,0.0,1,12,28,71,46525.0,72.0,7,39.0,2025-11-28,02:17PM,440,0.0,24.76,"[24.76, 24.8]",5.38,,[],1.0,0.8,63.97415185783522,81.78438661710037,0.019999999999999574,0,0,0.16901408450704225,0.5,0.7,0.18796992481203006,0.0,0.39436619718309857,0.4,0.5,1.0,0.5,0.6,0.44,0.16499999999999998,0.016999999999999987,0.04066666666666666,0.08,0.0,36,1.05,0.02,1.12,17.77059773828756,1.0,0.9,0.95,1.0,0.5253240521321123,0.95,0,1.0,MIDDLE,0.92,False,0.95,1.03,1.0,1.05,GRASS,1.0,0.5633802816901409,0.875,1.0,12.570284112102637,0.12579745625409078,0.8,0.85,0.5,1.0,4,0.02,0.95,1.0,1.12,26.09447132826589,71
Q LAKESIDE,14,1,Cash On Demand,54.13778062436838,TIER0 - LOCK,"Box 1, Score 54.1, Margin 20.3%, 55 starts",0.375,x421x,Corey Mutton,4d,0.0,1,15,17,55,65020.0,,87,87.0,2025-11-26,06:14PM,352,0.0,18.95,"[21.97, 18.95]",1.16,,[],1.0,0.8,66.87071240105541,303.448275862069,1.5099999999999998,0,0,0.2727272727272727,0.0,0.7,0.20161290322580644,0.0,0.3090909090909091,0.2,0.5,1.0,0.5,0.6,0.5,0.105,0.016999999999999987,0.04066666666666666,0.02,0.0,48,0.93,0.02,1.12,18.575197889182057,1.1,0.95,0.85,0.7,0.9797030843610423,0.95,0,1.0,SPRINT,0.92,True,1.1,1.08,0.7,0.93,SAND,1.01,0.5818181818181818,1.0,0.7777777777777778,76.74373796653259,0.41352146256270716,0.8,0.92,0.4444444444444444,1.0,9,0.005,0.85,1.0,1.0,20.34876743154974,55
GRAFTON,10,1,Hurricane Freya,49.223802682585315,TIER0 - LOCK,"Box 1, Score 49.2, Margin 21.7%, 34 starts",0.375,85146,David Grundy,3b,0.0,1,2,7,34,4015.0,27.0,5,15.0,2025-11-23,09:13PM,350,-0.3333333333333333,20.27,"[20.27, 20.44]",4.02,,[],1.0,0.8,62.16082881105081,87.06467661691543,0.08500000000000085,0,0,0.058823529411764705,1.0,0.7,0.09210526315789473,0.0,0.20588235294117646,0.7,0.5,1.0,0.5,0.6,0.0,0.08499999999999999,0.016999999999999987,0.04066666666666666,0.0,0.0,36,1.05,0.02,1.12,17.26689689195856,1.0,1.0,1.05,1.0,0.2666688806142598,1.0,0,1.0,SPRINT,1.0,False,0.95,0.95,1.0,1.05,SAND,1.0302,0.2647058823529412,0.5,0.1,31.181387758645943,1.5599114748997165,0.8,1.0,0.3,1.1,10,0.005,1.05,1.0,1.02,21.68603297324692,34
