Track,RaceNumber,Box,DogName,FinalScore,Tier,Margin,Recommendation,ExpectedWinRate
SANDOWN,3,1,Abdulla Zulu,115.75173823439422,TIER1,14.30492592156329,v4.4 Pick,28-30%
SANDOWN,4,2,To Peru,138.24145174926943,TIER1,12.676679713221153,v4.4 Pick,28-30%
SANDOWN,5,2,Paw Toronto,99.8895002287777,TIER2,11.041825916517075,v4.4 Pick,28-30%
SANDOWN,9,2,Bandit Daryl,104.2793446751193,TIER0,21.844276819712473,v4.4 Pick,28-30%
SANDOWN,10,5,Paw Quebec,120.84094650679444,TIER1,36.669993519993334,v4.4 Pick,28-30%
Angle Park,2,8,Victory Club,52.51579327129119,TIER0,29.679107278046313,v4.4 Pick,28-30%
Angle Park,4,4,Talbot Road,126.13524914231917,TIER1,23.107158261347326,v4.4 Pick,28-30%
Angle Park,5,2,Galactic Nemesis,166.82268089683785,TIER0,40.339075415091195,v4.4 Pick,28-30%
Angle Park,7,5,Minnie's My Mum,100.30445561924472,TIER1,31.41834463429014,v4.4 Pick,28-30%
Angle Park,10,6,Flying Artie,84.95816936117765,TIER1,15.396332491926767,v4.4 Pick,28-30%
Angle Park,11,1,Canya Striker,133.75140898428356,TIER0,38.296583218857904,v4.4 Pick,28-30%
Angle Park,12,6,Isabella's Blitz,111.5593793942853,TIER1,21.6066178788857,v4.4 Pick,28-30%
RICHMOND STRAIGHT,4,8,Despicable Dash,67.30245394497497,TIER1,14.12431669279568,v4.4 Pick,28-30%
RICHMOND STRAIGHT,5,8,Lakota Courtney,117.58738653573847,TIER1,22.161470609157725,v4.4 Pick,28-30%
RICHMOND STRAIGHT,7,2,Cawbourne Leota,125.02699247147582,TIER0,35.082485918110315,v4.4 Pick,28-30%
RICHMOND STRAIGHT,9,8,Sanctimonious,45.49040105053891,TIER1,18.36008639892619,v4.4 Pick,28-30%
RICHMOND STRAIGHT,11,4,Zipping Ruffian,57.03729299901297,TIER1,12.32460182242563,v4.4 Pick,28-30%
WENTWORTH PARK,2,2,Overflow Jenny,121.65284605499065,TIER1,23.210720492763627,v4.4 Pick,28-30%
WENTWORTH PARK,4,1,Shinkansen,79.47450279509691,TIER0,45.52587828440377,v4.4 Pick,28-30%
WENTWORTH PARK,5,6,Spring Steffi,90.47553763028021,TIER1,14.771912374315185,v4.4 Pick,28-30%
WENTWORTH PARK,6,9,Boppin' Ethics,58.733385150152905,TIER1,19.50591601864744,v4.4 Pick,28-30%
WENTWORTH PARK,8,2,Pepe Morada,116.17135340192351,TIER1,72.29652811654354,v4.4 Pick,28-30%
Mandurah,1,6,Epic Marceline,72.49476697436154,TIER1,56.06476262378185,v4.4 Pick,28-30%
Mandurah,2,8,Mystic Pixel,90.13774975787027,TIER1,47.87132687793629,v4.4 Pick,28-30%
Mandurah,4,2,Sunset Vibe,112.89800256650867,TIER1,43.33418102684972,v4.4 Pick,28-30%
Mandurah,5,8,Bruiser My Uncle,40.630973203814364,TIER1,30.922034925438847,v4.4 Pick,28-30%
Mandurah,7,1,Sunset Bubbles,77.12687988860445,TIER1,14.847845366342103,v4.4 Pick,28-30%
Mandurah,9,2,Spider Hulk,47.57954624925906,TIER1,11.950833796529398,v4.4 Pick,28-30%
Mandurah,10,8,Princess Gemma,42.32679934839943,TIER1,30.846924740050554,v4.4 Pick,28-30%
NOWRA,2,1,Athlete Tick,159.55006948200648,TIER0,51.11535754954506,v4.4 Pick,28-30%
NOWRA,3,2,Kicking Bins,57.473488147999966,TIER1,12.242897693477238,v4.4 Pick,28-30%
NOWRA,4,2,Winsome Rambo,104.40562830052829,TIER1,40.97597706278771,v4.4 Pick,28-30%
NOWRA,5,2,Before The Dawn,93.55821160367508,TIER1,43.01825682960831,v4.4 Pick,28-30%
NOWRA,6,1,Winsome Storm,75.31186295395564,TIER1,45.28723532997128,v4.4 Pick,28-30%
NOWRA,7,4,Aria's Dream,67.45302776650458,TIER1,45.39986191615913,v4.4 Pick,28-30%
NOWRA,8,5,Thirteen Plus,86.2528825498493,TIER2,12.458249231521325,v4.4 Pick,28-30%
NOWRA,9,4,Fancy Bentley,60.94626589564659,TIER1,14.12708826959106,v4.4 Pick,28-30%
SHEPPARTON,2,6,Whodat Whiskey,55.034821115541,TIER1,20.257594327719204,v4.4 Pick,28-30%
SHEPPARTON,3,4,Big Boy Cabang,43.86111957855062,TIER2,26.8255315189401,v4.4 Pick,28-30%
SHEPPARTON,6,1,Matchbox Honey,78.04308601550225,TIER1,40.47450076605932,v4.4 Pick,28-30%
SHEPPARTON,8,1,Slick Eclipse,83.12078350100572,TIER1,52.908666866357876,v4.4 Pick,28-30%
SHEPPARTON,10,6,Scott Greyscale,58.84064155843694,TIER1,13.845628202416515,v4.4 Pick,28-30%
SHEPPARTON,12,8,Morning Daisy,71.92513708612316,TIER2,9.150239530132204,v4.4 Pick,28-30%
SHEPPARTON,13,4,Jayden,61.33559212778694,TIER1,32.848030012072286,v4.4 Pick,28-30%
SHEPPARTON,14,4,Bear Lee Crime,63.24607997632358,TIER1,39.181534891241924,v4.4 Pick,28-30%
BALLARAT,3,8,Ken Special,62.00476864146365,TIER1,24.886505357836093,v4.4 Pick,28-30%
BALLARAT,5,2,Sabatini,52.37562389927298,TIER0,23.751645897786652,v4.4 Pick,28-30%
BALLARAT,7,2,Highland Jack,51.67597073451172,TIER1,12.507800257234317,v4.4 Pick,28-30%
BALLARAT,9,2,Bindy Blazer,66.19584147342381,TIER0,22.032610888647884,v4.4 Pick,28-30%
BALLARAT,10,1,Gusto,47.407779153637264,TIER0,26.88123196952657,v4.4 Pick,28-30%
BALLARAT,11,2,Whodat Jewel,134.07351196348702,TIER1,32.994397557911924,v4.4 Pick,28-30%
BALLARAT,12,8,Baby Beets,83.02845891977519,TIER1,38.697025670066196,v4.4 Pick,28-30%
BALLARAT,13,1,Lektra Bills,80.23233970272989,TIER1,15.199661571883738,v4.4 Pick,28-30%
BALLARAT,14,4,Magic Miley,56.87814199217345,TIER2,10.562731757446816,v4.4 Pick,28-30%
Q STRAIGHT,3,4,I'm The Problem,63.585936133448165,TIER1,46.99434499181467,v4.4 Pick,28-30%
Q STRAIGHT,4,1,Wise Rico,69.72022677180546,TIER1,32.1955555540551,v4.4 Pick,28-30%
Q STRAIGHT,5,2,Roof Rattler,81.12226541717797,TIER0,21.54417403401282,v4.4 Pick,28-30%
Q STRAIGHT,6,4,Barry The Boss,66.99370652691782,TIER1,31.00267798016116,v4.4 Pick,28-30%
Q STRAIGHT,8,2,Who's The Man,61.36395982540858,TIER0,17.77866372780709,v4.4 Pick,28-30%
Q STRAIGHT,9,1,Cousin Henry,116.52219642275084,TIER0,44.44175897852933,v4.4 Pick,28-30%
Q STRAIGHT,10,6,Here We Go,53.373860178372965,TIER1,22.339525460307865,v4.4 Pick,28-30%
Warragul,2,6,Pacific Lola,69.90879495543322,TIER1,28.74840123861716,v4.4 Pick,28-30%
Warragul,3,2,Night Cap,52.05977436774584,TIER0,18.85770767691611,v4.4 Pick,28-30%
Warragul,5,4,Blurry,74.24295759522677,TIER1,37.53475455255276,v4.4 Pick,28-30%
Warragul,7,2,Son Of Sybil,64.52130510097706,TIER0,20.887970264126224,v4.4 Pick,28-30%
Warragul,8,1,Weird Karen,99.60193643868078,TIER1,26.17231016117028,v4.4 Pick,28-30%
Warragul,9,8,Diplomat,57.12974088097892,TIER2,10.019788975233771,v4.4 Pick,28-30%
Warragul,10,4,Warrior Page,58.87552623834977,TIER1,18.13106841630526,v4.4 Pick,28-30%
Warragul,11,1,Just Angelic,91.74029844819094,TIER0,64.87058208094119,v4.4 Pick,28-30%
Q PARKLANDS,1,7,Evie Scarlett,96.8765928572264,TIER1,36.878153835972114,v4.4 Pick,28-30%
Q PARKLANDS,2,2,Goldstar Prada,122.42409646863224,TIER0,38.22875822992795,v4.4 Pick,28-30%
Q PARKLANDS,3,3,Highway Princess,74.81030148837581,TIER1,45.40582682578201,v4.4 Pick,28-30%
Q PARKLANDS,5,5,Zipping Choi,115.7701274816457,TIER1,43.20393371014719,v4.4 Pick,28-30%
Q PARKLANDS,6,4,Zipping Kravitz,118.58359677339747,TIER1,30.830669424440018,v4.4 Pick,28-30%
HOBART,1,6,Potent Crew,57.55630426722712,TIER1,16.67945918710649,v4.4 Pick,28-30%
HOBART,2,2,Trick,86.74744825030297,TIER1,34.164647359890246,v4.4 Pick,28-30%
HOBART,3,8,Leyton,58.11582256818728,TIER1,52.10868486645742,v4.4 Pick,28-30%
HOBART,4,2,Push The Button,135.11656143438069,TIER0,38.589156519771144,v4.4 Pick,28-30%
HOBART,5,2,Worpel,110.68093352568033,TIER0,38.73530459063163,v4.4 Pick,28-30%
HOBART,6,1,Kisses For Ruby,70.88637039161524,TIER0,23.560858184266152,v4.4 Pick,28-30%
HOBART,7,1,Black Mouse,79.09558815330288,TIER1,18.768903245771995,v4.4 Pick,28-30%
HOBART,8,8,Appenzell,162.63802172885713,TIER1,30.877988374224874,v4.4 Pick,28-30%
HOBART,10,7,Dilston Firebird,61.890382250250674,TIER1,37.05900067895435,v4.4 Pick,28-30%
HOBART,11,2,Where's Aunty,67.99337781222756,TIER1,12.836675338465017,v4.4 Pick,28-30%
CASINO,3,6,Brick And Stick,113.42558641631551,TIER1,24.05506337905663,v4.4 Pick,28-30%
CASINO,4,8,Here Comes Dylan,67.89044739870803,TIER2,9.252549249587032,v4.4 Pick,28-30%
CASINO,5,2,Blue Milk,90.45046155236098,TIER0,25.919741858838297,v4.4 Pick,28-30%
CASINO,7,1,Bentley Harris,124.88245945750778,TIER0,35.261747912164395,v4.4 Pick,28-30%
CASINO,8,8,Nalu,63.85914105428587,TIER0,25.09608501109793,v4.4 Pick,28-30%
CASINO,9,1,Prosecute,74.59486376201953,TIER0,62.7961725685375,v4.4 Pick,28-30%
CASINO,10,6,Feisty Foxy,49.13838041865184,TIER1,21.360499564757454,v4.4 Pick,28-30%
CASINO,11,2,Round The Ridges,71.04806808894276,TIER0,28.386882115113178,v4.4 Pick,28-30%
CASINO,12,6,Sway Bar,79.42716321794086,TIER1,14.007575644013453,v4.4 Pick,28-30%
